num,MRF,stochastic
15,0.646669541,0.533555946
15,0.591074722,0.38571869
15,0.762364576,0.559847245
15,0.745243516,0.545119445
15,0.610124418,0.434700849
15,0.784969468,0.456523611
15,0.722917106,0.519203463
16,0.726030975,0.495512219
16,0.620255979,0.409648622
16,0.569150004,0.420089464
16,0.664433904,0.330621374
16,0.705238188,0.510643551
16,0.726415109,0.434330913
16,0.623499675,0.372970266
16,0.727073209,0.427004795
16,0.690636986,0.346717936
16,0.591332835,0.482887177
17,0.716870325,0.431990295
17,0.680152722,0.381660991
17,0.624150204,0.415931315
17,0.585179524,0.553608863
17,0.657211388,0.320384323
17,0.731850766,0.386630796
17,0.546316996,0.305122952
17,0.714881571,0.430105733
17,0.55927603,0.440824996
17,0.767804984,0.493285077
18,0.714414549,0.418281909
18,0.636041897,0.297729566
18,0.642496416,0.348544167
18,0.720114022,0.630576919
18,0.795550192,0.557163334
18,0.81610047,0.51980871
18,0.636328969,0.510124763
18,0.680875006,0.489094605
18,0.671237828,0.499796247
18,0.701924925,0.46597505
19,0.686572814,0.46924353
19,0.706774844,0.496646451
19,0.707932365,0.615352703
19,0.671461572,0.407927553
19,0.69546801,0.489119956
19,0.74148014,0.400580401
19,0.727906402,0.418497766
19,0.789287682,0.566295361
19,0.697081441,0.553124635
19,0.806188983,0.478864399
20,0.731570159,0.431337994
20,0.778032056,0.361280773
20,0.719402355,0.545881672
20,0.73885075,0.45442756
20,0.758675545,0.576302693
20,0.652657361,0.668179664
20,0.694232677,0.478594667
20,0.697101863,0.448054142
20,0.764018523,0.559458321
20,0.554537622,0.276837467
21,0.699483742,0.535914354
21,0.709005534,0.409864624
21,0.677596118,0.521552373
21,0.706986552,0.584854147
21,0.603633617,0.643568739
21,0.723390953,0.481926973
21,0.719161488,0.601874225
21,0.836926824,0.388091368
21,0.778004351,0.464557606
21,0.653198055,0.500106764
22,0.768952986,0.604397042
22,0.681008382,0.554461353
22,0.675871707,0.663701684
22,0.678573259,0.549694804
22,0.754508536,0.621004009
22,0.77644361,0.526209874
22,0.721715187,0.494006081
22,0.733990156,0.374498098
22,0.785327582,0.455219112
22,0.782213004,0.410976106
23,0.866391883,0.478777768
23,0.734180534,0.591526326
23,0.782910425,0.596763413
23,0.757896973,0.508665669
23,0.700087696,0.55186811
23,0.840210727,0.579624672
23,0.802299126,0.660859646
23,0.881690409,0.471682582
23,0.800318721,0.506550082
23,0.815209599,0.479248894
24,0.800027726,0.60376107
24,0.793997397,0.617317644
24,0.758720822,0.597721727
24,0.819105352,0.596368025
24,0.823408666,0.723703052
24,0.813277882,0.466929566
24,0.618831455,0.559595608
24,0.807793018,0.607433759
24,0.775669567,0.606855822
24,0.703187025,0.432324136
25,0.801955471,0.507487419
25,0.745589056,0.55067848
25,0.771765328,0.488730769
25,0.882646429,0.425912199
25,0.82597446,0.610460637
25,0.796986234,0.630144275
25,0.758865757,0.580891269
25,0.755525577,0.596152678
25,0.707548206,0.430225799
25,0.767772597,0.512423591
26,0.850924484,0.552895421
26,0.836227493,0.565881624
26,0.644477082,0.561590115
26,0.718833224,0.506310138
26,0.770430989,0.656829322
26,0.760864853,0.590232488
26,0.812132803,0.429252056
26,0.701800136,0.559480417
26,0.740264067,0.480677817
26,0.860296922,0.58988247
27,0.82738735,0.685074065
27,0.831200139,0.737181461
27,0.719670782,0.599753031
27,0.834679768,0.459775617
27,0.78437372,0.501588924
27,0.845313761,0.593694106
27,0.763842995,0.761232676
27,0.801503055,0.574638903
27,0.777311257,0.5576552
27,0.832141436,0.681959016
28,0.839831774,0.499570204
28,0.774853416,0.508670799
28,0.844751713,0.670841931
28,0.822670065,0.530838541
28,0.721957316,0.634410345
28,0.803357493,0.666468667
28,0.889893338,0.531612731
28,0.786244519,0.680738222
28,0.815630483,0.657238514
28,0.807499153,0.729194866
29,0.883055106,0.656022683
29,0.836217298,0.675853863
29,0.830271328,0.616689516
29,0.883294878,0.601064033
29,0.788637991,0.59598406
29,0.86712892,0.60025188
29,0.744652405,0.620973284
29,0.829492149,0.745514261
29,0.65099401,0.685693423
29,0.742472426,0.716501706
30,0.823324528,0.676696311
30,0.840172027,0.505333932
30,0.867961482,0.577508472
30,0.632660416,0.586142028
30,0.797502666,0.533595141
30,0.755970862,0.705546614
30,0.723732367,0.710726825
30,0.724113013,0.627646846
30,0.721513469,0.696928479
30,0.879166098,0.609984737
31,0.784259028,0.732015031
31,0.881875493,0.556597142
31,0.796513751,0.668492114
31,0.711813381,0.69399784
31,0.829986955,0.675840835
31,0.792947271,0.477308689
31,0.863445461,0.765678138
31,0.821946009,0.672988353
31,0.82427437,0.570992443
31,0.82955182,0.608948128
32,0.871161695,0.658371246
32,0.811102366,0.626879336
32,0.849541899,0.585092059
32,0.890157607,0.692502313
32,0.824110858,0.710331546
32,0.74141493,0.609212648
32,0.860931557,0.701870853
32,0.785451871,0.637819777
32,0.853462195,0.65091115
32,0.894717556,0.659408703
33,0.773727721,0.716924031
33,0.921779108,0.667213238
33,0.819844597,0.633295871
33,0.837993766,0.678233717
33,0.807292619,0.684887976
33,0.841548121,0.688487783
33,0.858613675,0.562679259
33,0.853412601,0.620346573
33,0.756211401,0.488572167
33,0.729511728,0.596175278
34,0.915416425,0.749430746
34,0.873142992,0.661041385
34,0.793036241,0.626103024
34,0.844021997,0.685399209
34,0.709219683,0.63800541
34,0.902275062,0.685422496
34,0.845941996,0.623693945
34,0.851330398,0.818898619
34,0.683184354,0.67467627
34,0.768977273,0.850834068
35,0.673440829,0.736554752
35,0.837100047,0.60199112
35,0.755294183,0.613565588
35,0.841228867,0.70815686
35,0.715427116,0.596698223
35,0.75762312,0.672316062
35,0.831911323,0.624852243
35,0.895567025,0.729932862
35,0.80837499,0.540833294
35,0.840212854,0.633970781
36,0.793205934,0.627965036
36,0.820915043,0.600239086
36,0.693737251,0.81960439
36,0.817034321,0.73527373
36,0.876722047,0.770797982
36,0.818127007,0.829715805
36,0.919201142,0.582084739
36,0.920830505,0.72266751
36,0.89339761,0.72454162
36,0.802411595,0.722964764
37,0.785517391,0.706288796
37,0.827846429,0.584060209
37,0.844586836,0.851823258
37,0.88104852,0.673777689
37,0.863628506,0.663115766
37,0.748662641,0.708244953
37,0.865036983,0.634781269
37,0.900301269,0.642240686
37,0.895490467,0.63260048
37,0.906505349,0.768645926
38,0.831466764,0.653941077
38,0.891641184,0.773078906
38,0.835769849,0.758640581
38,0.894677862,0.7721576
38,0.865980943,0.721511438
38,0.906420512,0.74434961
38,0.807076383,0.852301922
38,0.827569317,0.661355393
38,0.933529703,0.68961382
38,0.817851617,0.736957932
39,0.881096281,0.730052794
39,0.883787798,0.824831003
39,0.839787033,0.695498669
39,0.880829032,0.582990539
39,0.818120575,0.828794899
39,0.86263027,0.67595671
39,0.91714311,0.614358552
39,0.889220559,0.644312426
39,0.923481225,0.751847131
39,0.912580672,0.74121795
40,0.914561401,0.733188679
40,0.754120975,0.70200994
40,0.74116925,0.702530702
40,0.920576155,0.790489877
40,0.929793636,0.758128239
40,0.932087138,0.767240058
40,0.861435764,0.905685586
40,0.915006087,0.725410538
40,0.929590382,0.735710113
